,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
297,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,AUS,Australia,212,"[25.0, 0.0]","[32.0, 1.0]","[133.0, -27.0]"
298,2006,SOM,Somalia,UGA,Uganda,FIN,Finland,12,"[49.0, 10.0]","[32.0, 1.0]","[26.0, 64.0]"
299,2006,SOM,Somalia,KEN,Kenya,NLD,Netherlands,8,"[49.0, 10.0]","[38.0, 1.0]","[5.75, 52.5]"
300,2006,ERI,Eritrea,ETH,Ethiopia,USA,United States of America,1281,"[39.0, 15.0]","[38.0, 8.0]","[-97.0, 38.0]"
301,2006,COD,Dem. Rep. of the Congo,SOM,Somalia,NLD,Netherlands,3,"[25.0, 0.0]","[49.0, 10.0]","[5.75, 52.5]"
302,2006,COD,Dem. Rep. of the Congo,COG,Congo,AUS,Australia,101,"[25.0, 0.0]","[15.0, -1.0]","[133.0, -27.0]"
303,2006,SOM,Somalia,ERI,Eritrea,NZL,New Zealand,4,"[49.0, 10.0]","[39.0, 15.0]","[174.0, -41.0]"
304,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,35,"[25.0, 0.0]","[32.0, 1.0]","[-97.0, 38.0]"
305,2006,COD,Dem. Rep. of the Congo,KEN,Kenya,CAN,Canada,67,"[25.0, 0.0]","[38.0, 1.0]","[-95.0, 60.0]"
306,2006,SDN,Sudan,KEN,Kenya,NLD,Netherlands,33,"[30.0, 15.0]","[38.0, 1.0]","[5.75, 52.5]"
307,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,64,"[25.0, 0.0]","[32.0, 1.0]","[-95.0, 60.0]"
308,2006,COD,Dem. Rep. of the Congo,COG,Congo,NOR,Norway,38,"[25.0, 0.0]","[15.0, -1.0]","[10.0, 62.0]"
309,2006,SOM,Somalia,UGA,Uganda,AUS,Australia,2,"[49.0, 10.0]","[32.0, 1.0]","[133.0, -27.0]"
310,2006,SDN,Sudan,UGA,Uganda,FIN,Finland,5,"[30.0, 15.0]","[32.0, 1.0]","[26.0, 64.0]"
311,2006,SOM,Somalia,ETH,Ethiopia,USA,United States of America,101,"[49.0, 10.0]","[38.0, 8.0]","[-97.0, 38.0]"
312,2006,ERI,Eritrea,SDN,Sudan,NLD,Netherlands,8,"[39.0, 15.0]","[30.0, 15.0]","[5.75, 52.5]"
313,2007,SOM,Somalia,KEN,Kenya,NLD,Netherlands,3,"[49.0, 10.0]","[38.0, 1.0]","[5.75, 52.5]"
314,2007,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,195,"[25.0, 0.0]","[32.0, 1.0]","[-95.0, 60.0]"
315,2007,COD,Dem. Rep. of the Congo,BDI,Burundi,FIN,Finland,6,"[25.0, 0.0]","[30.0, -3.5]","[26.0, 64.0]"
316,2007,SDN,Sudan,KEN,Kenya,USA,United States of America,31,"[30.0, 15.0]","[38.0, 1.0]","[-97.0, 38.0]"
317,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,DNK,Denmark,8,"[25.0, 0.0]","[30.0, -2.0]","[10.0, 56.0]"
318,2007,SDN,Sudan,UGA,Uganda,NOR,Norway,5,"[30.0, 15.0]","[32.0, 1.0]","[10.0, 62.0]"
319,2007,COD,Dem. Rep. of the Congo,UGA,Uganda,DNK,Denmark,74,"[25.0, 0.0]","[32.0, 1.0]","[10.0, 56.0]"
320,2007,ERI,Eritrea,KEN,Kenya,CAN,Canada,5,"[39.0, 15.0]","[38.0, 1.0]","[-95.0, 60.0]"
321,2007,SOM,Somalia,ERI,Eritrea,NOR,Norway,7,"[49.0, 10.0]","[39.0, 15.0]","[10.0, 62.0]"
322,2007,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,PRT,Portugal,25,"[25.0, 0.0]","[35.0, -6.0]","[-8.0, 39.5]"
323,2007,SOM,Somalia,UGA,Uganda,CAN,Canada,44,"[49.0, 10.0]","[32.0, 1.0]","[-95.0, 60.0]"
324,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,NLD,Netherlands,14,"[25.0, 0.0]","[30.0, -2.0]","[5.75, 52.5]"
325,2007,COD,Dem. Rep. of the Congo,ETH,Ethiopia,FIN,Finland,3,"[25.0, 0.0]","[38.0, 8.0]","[26.0, 64.0]"
326,2007,COD,Dem. Rep. of the Congo,RWA,Rwanda,USA,United States of America,129,"[25.0, 0.0]","[30.0, -2.0]","[-97.0, 38.0]"
327,2007,COD,Dem. Rep. of the Congo,COG,Congo,AUS,Australia,97,"[25.0, 0.0]","[15.0, -1.0]","[133.0, -27.0]"
328,2007,SDN,Sudan,UGA,Uganda,DNK,Denmark,46,"[30.0, 15.0]","[32.0, 1.0]","[10.0, 56.0]"
329,2007,SOM,Somalia,KEN,Kenya,CAN,Canada,151,"[49.0, 10.0]","[38.0, 1.0]","[-95.0, 60.0]"
330,2007,COD,Dem. Rep. of the Congo,ETH,Ethiopia,NOR,Norway,5,"[25.0, 0.0]","[38.0, 8.0]","[10.0, 62.0]"
331,2007,SDN,Sudan,UGA,Uganda,CAN,Canada,16,"[30.0, 15.0]","[32.0, 1.0]","[-95.0, 60.0]"
332,2007,COD,Dem. Rep. of the Congo,BDI,Burundi,USA,United States of America,3,"[25.0, 0.0]","[30.0, -3.5]","[-97.0, 38.0]"
333,2007,ERI,Eritrea,SDN,Sudan,NLD,Netherlands,8,"[39.0, 15.0]","[30.0, 15.0]","[5.75, 52.5]"
334,2007,ERI,Eritrea,KEN,Kenya,AUS,Australia,1,"[39.0, 15.0]","[38.0, 1.0]","[133.0, -27.0]"
335,2007,SOM,Somalia,ETH,Ethiopia,FIN,Finland,13,"[49.0, 10.0]","[38.0, 8.0]","[26.0, 64.0]"
336,2007,SOM,Somalia,RWA,Rwanda,USA,United States of America,1,"[49.0, 10.0]","[30.0, -2.0]","[-97.0, 38.0]"
337,2007,COD,Dem. Rep. of the Congo,BDI,Burundi,CAN,Canada,95,"[25.0, 0.0]","[30.0, -3.5]","[-95.0, 60.0]"
338,2007,SDN,Sudan,KEN,Kenya,CAN,Canada,7,"[30.0, 15.0]","[38.0, 1.0]","[-95.0, 60.0]"
339,2007,ERI,Eritrea,ETH,Ethiopia,NOR,Norway,2,"[39.0, 15.0]","[38.0, 8.0]","[10.0, 62.0]"
340,2007,SOM,Somalia,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[49.0, 10.0]","[38.0, 1.0]","[-2.0, 54.0]"
341,2007,COD,Dem. Rep. of the Congo,COG,Congo,USA,United States of America,7,"[25.0, 0.0]","[15.0, -1.0]","[-97.0, 38.0]"
342,2007,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,NLD,Netherlands,91,"[25.0, 0.0]","[35.0, -6.0]","[5.75, 52.5]"
343,2007,SOM,Somalia,KEN,Kenya,AUS,Australia,77,"[49.0, 10.0]","[38.0, 1.0]","[133.0, -27.0]"
